ALLAH-EKSENİ GRADYAN CETVELİ — 40 çekirdek kavram
(medyan kelime-mesafesi · rastgele referans ~11 · Bonferroni eşiği p≤0.00125)
★=Bonferroni-sağlam  ✔=nominal p<0.05  ·=nötr

  hudûd        1 kelime  yakin p=0.0000 ★  (n=25)
  mağfiret     6 kelime  yakin p=0.0000 ★  (n=234)
  tövbe        6 kelime  yakin p=0.0090 ✔  (n=87)
  takvâ        6 kelime  yakin p=0.0000 ★  (n=258)
  nûr          6 kelime  yakin p=0.0290 ✔  (n=49)
  ilim         6 kelime  yakin p=0.0000 ★  (n=778)
  şirk         7 kelime  yakin p=0.0050 ✔  (n=168)
  hidâyet      7 kelime  yakin p=0.0000 ★  (n=307)
  kalp         7 kelime  yakin p=0.0150 ✔  (n=132)
  iman         8 kelime  yakin p=0.0010 ★  (n=879)
  adl          8 kelime  yakin p=0.2100 ·  (n=28)
  nâs          8 kelime  yakin p=0.0200 ✔  (n=241)
  küfr         9 kelime  yakin p=0.0580 ·  (n=525)
  dua          9 kelime  yakin p=0.1420 ·  (n=212)
  dalâlet      9 kelime  yakin p=0.1610 ·  (n=191)
  zulmet       9 kelime  yakin p=0.3400 ·  (n=27)
  namaz       10 kelime  yakin p=0.4240 ·  (n=99)
  sabr        10 kelime  yakin p=0.4290 ·  (n=103)
  müjde       10 kelime  yakin p=0.3870 ·  (n=84)
  azap        11 kelime  uzak  p=0.6550 ·  (n=373)
  dünya       11 kelime  uzak  p=0.5810 ·  (n=115)
  zekât       12 kelime  uzak  p=0.4230 ·  (n=59)
  şükr        12 kelime  uzak  p=0.4050 ·  (n=75)
  ölüm        12 kelime  uzak  p=0.3620 ·  (n=165)
  zulüm       12 kelime  uzak  p=0.3350 ·  (n=290)
  melek       12 kelime  uzak  p=0.4630 ·  (n=88)
  rahmet      13 kelime  uzak  p=0.0890 ·  (n=339)
  şeytan      13 kelime  uzak  p=0.3010 ·  (n=88)
  ateş        13 kelime  uzak  p=0.1990 ·  (n=145)
  kizb        14 kelime  uzak  p=0.2780 ·  (n=40)
  yaratma     15 kelime  uzak  p=0.0100 ✔  (n=261)
  âyet        15 kelime  uzak  p=0.0060 ✔  (n=382)
  zikir       16 kelime  uzak  p=0.0000 ★  (n=274)
  cennet      16 kelime  uzak  p=0.0120 ✔  (n=160)
  Rab         23 kelime  uzak  p=0.0000 ★  (n=980)
  tekzib      23 kelime  uzak  p=0.0000 ★  (n=242)
  tuğyân      26 kelime  uzak  p=0.0060 ✔  (n=39)
  cin         29 kelime  uzak  p=0.0110 ✔  (n=30)
  beşer       29 kelime  uzak  p=0.0020 ✔  (n=37)
  insân       43 kelime  uzak  p=0.0000 ★  (n=71)
