# Kök denetim çalışma listesi — incelenmemiş çok-lemmalı kökler (sıklık sıralı)
# Karar: 'temiz' (tek kavram alanı) ya da tabloya ayrım ekle. Bittikçe kok_denetim.json güncellenir.

أله	n=2851	اللّه:2699 إله:147 اللّهمّ:5
قول	n=1722	قال:1618 قول:92 قائل:5 قيل:4 تقوّل:2 أقاويل:1
كون	n=1390	كان:1358 مكان:27 مكانت:5
ربب	n=980	ربّ:975 ربّانيّن:3 ربّيّ:1 ربائب:1
أمن	n=879	آمن:553 مؤمن:202 إيمان:45 مؤمنة:28 أمن:25 أمين:14 أمانة:4 أمانت:2 أمنة:2 اؤتمن:1 مأمن:1 آمنة:1
أيي	n=597	آية:382 أيّ:215
أتي	n=549	آتى:271 أتى:264 آتي:9 إيتاء:3 مؤتي:1 مأتيّ:1
كفر	n=525	كفر:326 كافر:156 كفور:15 كفّر:14 كفّار:5 كفّارة:4 كافرة:1 كفران:1 كوافر:1 كافور:1 أكفر:1
بين	n=523	بين:266 مبين:119 بيّنة:71 بيّن:36 تبيّن:18 مبيّنة:6 بيان:3 تستبين:1 تبيان:1 مستبين:1 يبين:1
شيأ	n=519	شىء:283 شاء:236
رسل	n=513	رسول:332 أرسل:130 مرسل:39 رسالة:10 مرسلة:2
كلل	n=377	كلّ:360 كلّما:15 كلالة:2
عمل	n=360	عمل:347 عامل:12 عاملة:1
جعل	n=346	جعل:340 جاعل:6
رحم	n=339	رحيم:116 رحمة:114 رحمن:57 رحم:29 أرحام:12 راحم:6 أرحم:4 مرحمة:1
رأي	n=328	رأى:273 أري:40 رءيا:7 رئاء:3 يراء:2 تراءت:2 رءي:1
كتب	n=319	كتاب:260 كتب:49 كاتب:7 مكتوب:1 اكتتب:1 كتابي:1
قبل	n=294	قبل:249 تقبّل:10 يقبل:9 أقبل:9 قبلة:7 متقابل:4 قبيل:2 قبول:1 قابل:1 مستقبل:1 قبائل:1
نزل	n=293	أنزل:183 نزّل:62 تنزيل:15 نزل:14 منزل:7 تنزّلت:7 منزّل:2 منازل:2 نزلة:1
حقق	n=287	حقّ:267 أحقّ:10 يحقّ:4 حاقّة:3 استحقّ:2 حقيق:1
عبد	n=275	عبد:253 عابد:11 عبادت:9 عبّد:1 عابدة:1
أخذ	n=273	أخذ:133 اتّخذ:124 يؤاخذ:9 آخذ:3 متّخذ:3 اتّخاذ:1
وقي	n=258	اتّقى:166 متّقي:49 تقوى:17 وقى:16 تقيّ:4 واق:3 أتقى:2 تقاة:1
أخر	n=250	آخر:225 أخّر:15 يستأخر:6 تأخّر:3 مستأخر:1
أمر	n=248	أمر:243 يأتمر:2 آمر:1 أمّارة:1 إمر:1
بعد	n=235	بعد:206 بعيد:25 بعدت:2 مبعد:1 باعد:1
غفر	n=234	غفور:91 غفر:65 استغفر:40 مغفرة:28 غفّار:5 غافر:2 غفران:1 مستغفر:1 استغفار:1
دعو	n=212	دعا:170 دعاء:22 دعوة:6 دعوى:4 داعي:4 داع:3 يدّع:3
حكم	n=210	حكيم:97 حكم:78 حكمة:20 حاكم:5 محكمة:2 يحكّم:2 أحكمت:2 أحكم:2 حكّام:1 يتحاكم:1
عند	n=201	عند:197 عنيد:4
حسن	n=194	أحسن:57 محسن:38 حسن:37 حسنة:31 حسنى:17 إحسان:12 حسنيين:1 محسنة:1
ضلل	n=191	أضلّ:73 ضلّ:53 ضلال:38 ضالّ:14 ضلالة:9 مضلّ:3 تضليل:1
سمع	n=185	سمع:100 سميع:47 استمع:16 أسمع:13 سمّاع:4 مسمع:2 مستمع:2 يسّمّع:1
خرج	n=182	أخرج:99 خرج:55 مخرج:9 إخراج:6 خروج:5 استخرج:4 خارج:3 خراج:1
صلح	n=180	صالح:74 صالحة:62 أصلح:28 إصلاح:7 مصلح:5 صلح:4
تبع	n=172	اتّبع:136 أتبع:15 تبع:11 تابع:3 اتّباع:2 متتابعين:2 متّبع:2 تبيع:1
قتل	n=170	قتل:93 قاتل:54 قتال:13 اقتتل:4 قتّل:4 قتلى:1 تقتيل:1
قلب	n=168	قلب:132 انقلب:17 قلّب:6 تقلّب:5 منقلب:5 تتقلّب:1 تقلب:1 متقلّب:1
شرك	n=168	أشرك:71 مشرك:44 شريك:40 مشركة:5 شرك:5 مشترك:2 شارك:1
كثر	n=167	أكثر:82 كثير:63 كثيرة:11 استكثر:3 كثر:2 كثرة:2 تكاثر:2 كثّر:1 كوثر:1
سوأ	n=167	سوء:59 سيّئة:58 ساء:30 سوءة:7 أساء:5 سيّئ:4 أسوأ:2 سوٓأى:1 مسيء:1
موت	n=165	موت:50 مات:39 ميّت:38 أمات:21 ميتة:6 ميت:5 ممات:3 موتت:3
كبر	n=161	استكبر:40 كبير:40 أكبر:25 كبر:16 كبيرة:7 متكبّر:7 كبرى:7 مستكبر:6 كبّر:4 يتكبّر:2 كبرياء:2 استكبار:2
شهد	n=160	شهيد:56 شهد:44 شهادة:26 شاهد:21 أشهد:7 مشهود:3 استشهد:2 مشهد:1
نبأ	n=160	نبيّ:75 نبّأ:46 نبأ:29 نبوّة:5 أنۢبأ:4 يستنۢبئ:1
بعض	n=158	بعض:157 بعوضة:1
نصر	n=158	نصر:81 نصير:35 نصرانيّ:15 ناصر:11 انتصر:7 منتصر:4 استنصر:2 منصور:2 تناصر:1
غير	n=154	غير:147 يغيّر:4 مغيّر:1 يتغيّر:1 مغيرة:1
وعد	n=151	وعد:119 موعد:12 ميعاد:6 وعيد:6 واعد:4 توعد:1 تواعد:1 موعدة:1 موعود:1
بصر	n=148	بصير:51 بصر:48 أبصر:29 بصيرة:7 مبصر:4 مبصرة:3 بصرت:3 مستبصر:1 تبصرة:1 يبصّر:1
رود	n=148	أراد:139 راود:8 رويد:1
لقي	n=146	ألقى:71 لقاء:24 لق:14 التقى:7 لقّى:6 تلقّى:4 ملاقوا:4 تلقاء:3 ملقي:3 يلاق:3 ملاقي:2 لاقي:1
نعم	n=140	نعمة:52 نعم:51 أنعم:17 نعيم:17 نعماء:1 ناعمة:1 نعّم:1
سلم	n=140	سلام:42 مسلم:39 أسلم:22 سلم:8 سلّم:8 إسلام:8 مسلّمة:3 مسلمة:3 تسليم:3 سليم:2 مستسلم:1 سالم:1
دنو	n=133	دنيا:115 أدنى:12 دانية:3 دنا:2 دان:1
قدر	n=132	قدير:45 قدر:43 قدّر:16 قادر:14 تقدير:5 مقتدر:4 مقدار:3 مقدور:1 قدور:1
نذر	n=130	نذير:58 أنذر:44 منذر:20 نذر:7 نذور:1
جمع	n=129	جميع:53 جمع:35 أجمع:30 جامع:3 مجموع:2 اجتمع:2 مجمع:2 مجتمع:1 جمعة:1
نظر	n=129	نظر:88 ينظر:12 ينتظر:8 منتظر:6 منظر:6 ناظر:5 نظرة:2 ناظرة:2
سأل	n=129	سأل:106 يتساءل:9 سائل:7 مسئول:5 سؤل:1 سؤال:1
عظم	n=128	عظيم:107 عظام:13 أعظم:3 عظم:2 يعظّم:2 يعظم:1
